# k[h/Mpc]   P_delta,delta   P_delta,theta   P_theta,theta 
0.0013081991921733793   5134.076950537128    5133.8989109061185   5133.722494462749
0.0013140786308487489   5155.093896958055    5154.913520541748   5154.73479551076
0.0013199844934810696   5176.189615586822    5176.006871996897   5175.82580847442
0.0013259168988275117   5197.364329021113    5197.179187479523   5196.9957551800935
0.0013318759661789762   5218.6182598963405    5218.430689230362   5218.244857482258
0.0013378618153624938   5239.951630940961    5239.761599577837   5239.573337317894
0.0013438745667436304   5261.364665039817    5261.172141002111   5260.981416771028
0.0013499143412289145   5282.857585081498    5282.66253598207   5282.469317919607
0.0013559812602682633   5304.430614015522    5304.233007052355   5304.037262892299
0.0013620754458574262   5326.08397465464    5325.883776605662   5325.685473670871
0.0013681970205404383   5347.817887794025    5347.61506501188   5347.414170209139
0.0013743461074120853   5369.632573103124    5369.427091509348   5369.223571323695
0.0013805228301203738   5391.528250290354    5391.320075370489   5391.11389586057
0.0013867273128690262   5413.505138981563    5413.294235779736   5413.085362572356
0.0013929596804199708   5435.5634587768    5435.349791890206   5435.138190175116
0.001399220058095855   5457.703429245147    5457.486962818434   5457.2725973428805
0.0014055085717825622   5479.925269870309    5479.705967589823   5479.488802652948
0.0014118253479317468   5502.22920008554    5502.007025173247   5501.787024620132
0.001418170513563371   5524.615439430665    5524.390354638501   5524.167481854803
0.001424544196268266   5547.084207292887    5546.856174897231   5546.630392803565
0.0014309465242106935   5569.635722999976    5569.404704795535   5569.1759758418775
0.0014373776261309241   5592.270205813599    5592.0361631075875   5591.804449267288
0.0014438376313478244   5614.987874924547    5614.750768530448   5614.51603129454
0.0014503266697614616   5637.788949282321    5637.5487395133905   5637.31093988413
0.0014568448718557075   5660.673648056465    5660.430294719342   5660.189393203858
0.0014633923687008723   5683.642190203525    5683.395652592345   5683.151609197252
0.0014699692919563337   5706.694794568234    5706.445031458537   5706.197805683512
0.0014765757738731855   5729.831679894187    5729.578649535938   5729.328200367657
0.0014832119472968986   5753.05306481685    5752.796724928487   5752.543010834126
0.0014898779456699917   5776.359167807165    5776.099475568329   5775.842454489349
0.0014965739030347101   5799.750207150395    5799.487119195086   5799.226748539749
0.00150329995403573   5823.2264010777335    5822.959873487545   5822.696110124909
0.0015100562339228588   5846.787964409028    5846.517952706935   5846.25075296055
0.0015168428785537569   5870.435109328308    5870.1615684716735   5869.890888113034
0.0015236600243966707   5894.16804771501    5893.890932088788   5893.616726330551
0.0015305078085331761   5917.986991201458    5917.706254610868   5917.428478099898
0.0015373863686609312   5941.892151082201    5941.607746745618   5941.3263535561355
0.001544295843096452   5965.883738373432    5965.595618914151   5965.310562539648
0.0015512363707778896   5989.9619640918145    5989.670081531342   5989.381314878195
0.0015582080912678248   6014.127038805477    6013.831344556328   6013.538819936658
0.0015652111447560732   6038.3791727977205    6038.079617655967   6037.78328678063
0.0015722456720625086   6062.71857606028    6062.415110197723   6062.114924168611
0.0015793118146398856   6087.145458284253    6086.8380312410145   6086.533940543906
0.0015864097145766956   6111.660028804832    6111.348589481233   6111.040543978033
0.0015935395146000147   6136.262496470011    6135.946993117935   6135.634942038118
0.0016007013580783798   6160.9530702814    6160.633450496433   6160.317342429637
0.0016078953890246665   6185.731958653079    6185.408169366992   6185.087952255652
0.0016151217520989903   6210.599369660306    6210.271357133204   6209.946978264805
0.0016223805926116074   6235.555511031486    6235.223220843044   6234.894626842038
0.0016296720565258473   6260.600590140526    6260.263967181911   6259.9311040016755
0.0016369962904610393   6285.734813998499    6285.393802463801   6285.056615378388
0.001644353441695465   6310.958388960872    6310.6129323379055   6310.271365933278
0.0016517436581693185   6336.271521462949    6335.921562523702   6335.5755606884095
0.0016591670884876825   6361.674417335818    6361.31989812919   6360.969404046924
0.001666623881923511   6387.167278603299    6386.808140446086   6386.453096587701
0.0016741141884206404   6412.750303416038    6412.386486884286   6412.026834999086
0.0016816381585967974   6438.423689247458    6438.055134167452   6437.6908152743545
0.0016891959437466302   6464.187633035643    6463.814278474393   6463.445232853489
0.0016967876958447505   6490.042331133375    6489.664115390006   6489.290282572888
0.0017044135675487904   6515.987978996278    6515.604839590407   6515.22615835034
0.001712073712202467   6542.024772311    6541.636645973953   6541.253054316735
0.0017197682838386746   6568.152905783029    6567.759728449093   6567.371163604572
0.0017274974371825752   6594.372573535911    6593.974280332491   6593.580678745423
0.0017352613276547127   6620.68396910134    6620.280494339285   6619.881791659575
0.0017430601113741376   6647.087285409596    6646.6785625732   6646.2746936461945
0.0017508939451615468   6673.58271477933    6673.168676515963   6672.759575373421
0.001758762986542432   6700.170448799451    6699.7510269095565   6699.3366267588835
0.001766667393750257   6726.8506781768    6726.425803601465   6726.006036814423
0.001774607325729632   6753.623593781396    6753.1931965930835   6752.767994696383
0.0017825829421395114   6780.48938538686    6780.053394779338   6779.622688445068
0.001790594403356405   6807.448242104739    6807.006586382844   6806.570305418587
0.0017986418704776055   6834.500352376909    6834.052958945139   6833.61103228338
0.001806725505324418   6861.645903962056    6861.192699313923   6860.745055001862
0.001814845470445428   6888.8850839277075    6888.425993634882   6887.972558822861
0.0018230019291197597   6916.218078600321    6915.7530273011025   6915.29372823263
0.0018311950453603631   6943.645072945121    6943.17398433114   6942.708746329641
0.0018394249839173134   6971.166249923234    6970.689046728532   6970.217794186783
0.001847691910281117   6998.781787639528    6998.298391630675   6997.821048001435
0.0018559959906860484   7026.4918631149885    7026.002195079038   7025.518682863761
0.0018643373921134881   7054.296652515535    7053.800632248672   7053.310872986193
0.0018727162822952802   7082.196331139217    7081.693877434697   7081.197791689758
0.0018811328297171058   7110.191073406848    7109.682104042491   7109.1796113936425
0.0018895872036218731   7138.28105284785    7137.765484574024   7137.256503602277
0.0018980795740131137   7166.466441504977    7165.944190031148   7165.428638306752
0.0019066101116584102   7194.7474113736025    7194.2183913534245   7193.696185421754
0.0019151789880928252   7223.124133513301    7222.588258535004   7222.059313906979
0.0019237863756223505   7251.596777774904    7251.053960348294   7250.518191488314
0.0019324324473273726   7280.165513062705    7279.615664606367   7279.07298491961
0.0019411173770661552   7308.830507317761    7308.27353814584   7307.723859965758
0.0019498413394783273   7337.591927509416    7337.02774681862   7336.4709813942745
0.0019586045099884066   7366.449939621118    7365.878455476262   7365.314512959763
0.001967407064809319   7395.404708568982    7394.8258278905305   7394.254617323531
0.0019762491809459434   7424.456397394592    7423.870025941393   7423.2914552384555
0.0019851310361986723   7453.605170017352    7453.011212372681   7452.425188309136
0.0019940528091669883   7482.8511883571455    7482.2495479177305   7481.655976117733
0.002003014679253048   7512.194613290162    7511.585192251612   7510.983977174896
0.0020120168266652997   7541.635604631951    7541.018303974127   7540.409348902074
0.002021059432422101   7571.174321095285    7570.549040568245   7569.932247589753
0.0020301426783553614   7600.810917360177    7600.177555468832   7599.552825467018
0.0020392667471141952   7630.545541698648    7629.903995689163   7629.271228326599
0.0020484318221686   7660.378340302693    7659.728506147253   7659.087599852475
0.002057638087813136   7690.309457632916    7689.651230009738   7689.002081957596
0.002066885729170645   7720.339038642955    7719.67231092246   7719.014817021681
0.002076174932195963   7750.467225995687    7749.79189022858   7749.125945108452
0.002085505883679663   7780.694161049205    7780.010107949411   7779.3356049455515
0.002094878771251812   7811.019983846931    7810.327102775788   7809.64393391431
0.002104293783385743   7841.444833099087    7840.743012049729   7840.051068032611
0.0021137511094018397   7871.968846175391    7871.257971756488   7870.557141944317
0.0021232509394713537   7902.592159083283    7901.872116502281   7901.162288899919
0.0021327934646202212   7933.314906220543    7932.585579267166   7931.8666405076765
0.0021423788767329062   7964.137219624012    7963.398490647628   7962.670325971146
0.002152007368556259   7995.05923251843    7994.310982414089   7993.573475651666
0.002161679133703394   8026.081075329459    8025.323183522306   8024.576217084573
0.002171394366657574   8057.2028770532415    8056.435221481503   8055.678676340784
0.002181153262776136   8088.424765238435    8087.6472223361   8086.880978009695
0.0021909560182944068   8119.746865977192    8118.959310656555   8118.1832451899345
0.002200802830329654   8151.16930388271    8150.371609515255   8149.585599465029
0.0022106938968850507   8182.692202080132    8181.884240479791   8181.088160896302
0.002220629416853656   8214.315682189459    8213.497323592568   8212.691048001861
0.0022306095900224087   8246.03986255393    8245.210975599091   8244.394375981761
0.002240634617076156   8277.864860766913    8277.025312471113   8276.198259241504
0.0022507046996016796   8309.790786368036    8308.940442115138   8308.102804110105
0.002260820040091754   8341.817746077697    8340.956469599036   8340.108114058146
0.0022709808419492166   8373.94584490822    8373.07349826305   8372.21429081221
0.0022811873094910587   8406.175186135753    8405.291629692889   8404.421434324586
0.00229143964795253   8438.50587129488    8437.610963712204   8436.729642766895
0.002301738063491271   8470.938000157985    8470.031598362251   8469.139012508796
0.002312082763191458   8503.471670720262    8502.553629886577   8501.649638103365
0.0023224739550679638   8536.10697839531    8535.177151926551   8534.261611481854
0.0023329118480705418   8568.844016467341    8567.90225596523   8566.975022387322
0.0023433966520880318   8601.682879281216    8600.72903452834   8599.789961592018
0.0023539285779525694   8634.623657547947    8633.657576492587   8632.706516201835
0.0023645078374438396   8667.666440125666    8666.687968858583   8665.724771425088
0.0023751346432933263   8700.81131398989    8699.820296723468   8698.844810547658
0.0023858092091885927   8734.058364225166    8733.054643270345   8732.066714920447
0.0023965317497775776   8767.407674000191    8766.391089746401   8765.390563935958
0.0024073024806729143   8800.859324564675    8799.829715455606   8798.816435024151
0.0024181216184562568   8834.413395215664    8833.370597728877   8832.344403618228
0.0024289893806826494   8868.06996149849    8867.01381011793   8865.974541350075
0.0024399059858848902   8901.82909894189    8900.75942612503   8899.706919769424
0.002450871653577931   8935.690882400839    8934.607518564659   8933.541609723443
0.0024618866042632873   8969.655383218    8968.558156719579   8967.478678509935
