,ra,dec,zcos,zobs,vpec_true,vpec_est,vpec_err,sim_x1,sim_c,sim_mb,x1,c,mb,chi2
862,5.508323935853467,1.2550066996312517,0.0795278577272123,0.07908843121949993,-122.03182337028463,-1892.2255323795503,1283.945189138453,0.5674552344720352,-0.07492971521898716,18.43646711339009,2.0757487167595037,-0.05281533769526409,18.44153593085281,3.381174213285584
863,4.269514521729698,0.2759156709199934,0.05985116595275786,0.05905691452735984,-224.66417430981542,-195.56270722037056,264.40209119767854,0.05822234853540209,0.07454695941747172,18.29323854268956,0.0507623354919919,0.07673532696510253,18.297420291559384,72.27988995591967
864,5.226114467548901,0.5305418152296855,0.08273974411461464,0.08120642655208932,-424.5498915714965,-773.4564999209831,606.9628250864614,0.4047165430464726,0.0055883528423564185,18.779041614486747,0.4481017929225307,0.002380823700292265,18.793491487851092,15.1077257864481
865,5.662834801310697,0.2716717166911402,0.07922637658436461,0.07876814362821638,-127.29005446940585,-62.99313679337694,704.0656678103566,0.20687809284267714,0.10436849480261207,18.9981467161129,0.19498420848222464,0.1100201859087904,19.010464854040777,56.631524115095274
866,1.1037478098424223,0.301692839666703,0.034137794342642976,0.03475531148913591,179.01577934486903,-7688.7328165368235,2110.1297759222603,-1.874047387331278,-0.017822246082195153,17.04298422717013,-1.8894546708936797,-0.8916793932786315,15.735954665215813,7.294869930152439
867,5.010730344471636,0.8120482339766479,0.07629383884182815,0.07451176499991141,-496.3814509805698,-458.3371738788057,368.2265969209574,0.7932295854935224,0.09593174270833435,18.800023950212548,0.8407121485335265,0.09934827270097811,18.79978289140557,37.36585488988539
868,3.5587554378254316,0.005945021163291329,0.07649588798029913,0.07701431239066459,144.3755893599762,413.0233019314878,361.51819247469,1.368396374717059,0.022505273297303043,18.521892485827966,1.2986046507013118,0.02861851180268424,18.524311323748538,25.630279115609913
869,3.1396801932741933,-0.4790258414289542,0.0541693321468599,0.05354802788177859,-176.69109422417787,-112.8378274777724,310.97166076748204,0.26104983097447015,-0.003627844963828772,17.81362177851811,0.24634276244610853,-0.0016745999018956952,17.813049480230745,17.97774976032325
870,2.7791244571821068,-0.11705284746662854,0.058093812955137235,0.057942673336647044,-42.82277920310623,-51.114238844482195,340.6729813812128,-2.368850167526781,0.15810606505084082,18.81061535888181,-2.4134908629015435,0.154020696361724,18.806062694094646,25.765326926702826
871,0.21762002311505382,1.3337834872337488,0.05478745826283843,0.05301077935549481,-504.9689703237034,-672.1035239361006,313.5465182638507,0.5394564124544163,-0.05786092034746729,17.63818686254863,0.5885048485450843,-0.06408550869102714,17.63498246599102,11.004951915204263
872,3.569662278449418,0.5275062711841494,0.07527193751967368,0.07599696911293718,202.14328663079556,61.22964196452443,345.89023094677844,0.4764415079457376,0.05717594764181622,18.711317509998533,0.4490286031247706,0.04840683368591274,18.702982914170608,68.77715489139658
873,5.349961345053108,0.4725352232800575,0.08354312919717428,0.08357831352903267,9.734727715653092,-30.350768111997493,470.7139285370695,0.7602913348205733,-0.07665623409158202,18.519202636878337,0.7310600582877993,-0.0816375182132816,18.512246934678295,28.40864814683336
874,5.22044583777085,0.19392361885202677,0.059106127620724196,0.060082013485142305,276.23598277037365,347.1377982971185,339.6422115833383,1.2327525162537898,0.028085828223295382,17.972996769425084,1.2462205486802276,0.03297999026877303,17.976698806412358,25.93467722135299
875,5.038333242712271,-0.16848388820647076,0.04587287690428288,0.04521080690175938,-189.77793363571922,-134.8786728551042,283.537589901451,-1.2482264986059035,0.07526136652775878,17.87981435341339,-1.2346884402849552,0.08699150652807887,17.90368187006322,17.838485340934806
876,2.958938351252924,0.8100674338148128,0.08162970303371439,0.08241000870931958,216.27527038593539,899.3402007150984,754.1825410537092,-0.8888865320256324,0.009225803878726367,18.94902932362729,-1.2767194989270991,0.0020413095125307486,18.922405997929708,7.8665143427545905
877,3.014932144190645,0.8119356999520467,0.06403021337841847,0.06257175606381238,-410.92301490727664,-433.997241531074,281.64345415740405,-0.6248334014258885,0.057701386627356556,18.4901645715785,-0.6411083250681352,0.05632486692355744,18.491075403918263,82.52954546962901
878,4.861215775837716,0.5691952994092735,0.06845177367657342,0.06830019325305603,-42.53132323848357,-105.3227028881574,302.76051190303417,0.6326714841407511,0.10532224992786113,18.60916697871145,0.6451018909229702,0.10410907736235962,18.610523289945718,83.32127028999652
879,3.446342633498077,0.5730195000612721,0.07836814040501935,0.07780832862065679,-155.63085050748822,-138.44410599464814,435.5892277063499,0.18355037486259249,0.009277452070647361,18.700326239206042,0.16300730142560566,0.01200586787099608,18.70972879089529,11.102060729109992
880,0.14570760138988845,0.7509566785108144,0.047037314802167995,0.044533423378558146,-716.9255133861957,-839.6770713508809,226.199172558843,0.6042758423729437,0.05383587072144352,17.60690766423216,0.6733734121035306,0.04905186039746895,17.602001097339823,13.584113772278274
881,0.721304094643221,0.4849302841741064,0.020761900598745362,0.020132614995379994,-184.81790680691242,-210.2710907270132,123.39866846110544,-0.8180708701699891,0.24371359274161053,16.54730417614684,-0.9534719527906566,0.2224011773241101,16.51327904508321,4.496119580400005
882,5.1600965131279,0.35394654040721796,0.050739607143204885,0.050831141021673965,26.11604838147484,68.86166061320012,281.2481099485221,-1.9222527602383823,0.08176574384423074,18.222597899798025,-1.9318538135650318,0.08226154894386918,18.219418657918848,29.420398174949863
883,2.293572819215985,0.4328029546004285,0.07702184892667353,0.07500450345878451,-561.5345288086194,-543.2633667232986,375.00281991937624,1.3453951646970033,0.08737524650035783,18.718656196226853,1.3941442240034831,0.09530931119376856,18.733216014594753,28.845737250298164
884,2.9880501612127963,-0.16006455858543323,0.049900312764467755,0.0494632394670218,-124.80354236916378,-149.57617950091347,231.57114402456486,0.6271166435073863,0.20200803134046302,18.174698033171197,0.630747187007434,0.20146070013888323,18.176155177543226,23.209646234550128
885,4.556476360816572,0.282698806615955,0.07673055560740064,0.07701494921440344,79.18328131283128,236.38498094550542,363.2611112886614,-0.0057270242969193474,0.4013502169312485,19.8189730100909,-0.002108014910686819,0.41043315461255103,19.830222221441534,59.36015804255893
886,4.104694182274155,0.36737585683752855,0.03383466708255505,0.03359260331880032,-70.19390337681365,-58.120722889803076,151.70336933083507,0.623856735869572,0.01783535163766834,16.773231971264227,0.6537081945610606,0.021813782846768045,16.778148916019045,40.71566391003772
